block_id,face_px,face_nx,face_py,face_ny,face_pz,face_nz,transparent
10:14,16,16,16,16,16,16,0
10:15,16,16,16,16,16,16,0
10:16,16,16,16,16,16,16,0
10:17,16,16,16,16,16,16,0
10:18,16,16,16,16,16,16,0
10:19,16,16,16,16,16,16,0
110:000:0,16,16,16,16,16,16,0
110:000:1,16,16,16,16,16,16,0
110:000:2,16,16,16,16,16,16,0
110:000:3,16,16,16,16,16,16,0
110:000:4,16,16,16,16,16,16,0
110:000:5,16,16,16,16,16,16,0
110:001:0,16,16,16,16,16,16,0
110:001:1,16,16,16,16,16,16,0
110:001:2,16,16,16,16,16,16,0
110:001:3,16,16,16,16,16,16,0
110:010:0,16,16,16,16,16,16,0
110:010:1,16,16,16,16,16,16,0
110:010:2,16,16,16,16,16,16,0
110:010:3,16,16,16,16,16,16,0
110:010:4,16,16,16,16,16,16,0
110:010:5,16,16,16,16,16,16,0
110:010:6,16,16,16,16,16,16,0
110:011:0,16,16,16,16,16,16,0
110:011:1,16,16,16,16,16,16,0
110:011:2,16,16,16,16,16,16,0
110:011:3,16,16,16,16,16,16,0
110:011:4,16,16,16,16,16,16,0
110:011:5,16,16,16,16,16,16,0
110:011:6,16,16,16,16,16,16,0
110:011:7,16,16,16,16,16,16,0
110:101:0,16,16,16,16,16,16,0
110:101:1,16,16,16,16,16,16,0
110:101:2,16,16,16,16,16,16,0
110:101:3,16,16,16,16,16,16,0
110:101:4,16,16,16,16,16,16,0
110:101:5,16,16,16,16,16,16,0
110:100:0,16,16,16,16,16,16,0
110:100:1,16,16,16,16,16,16,0
110:100:2,16,16,16,16,16,16,0
1110:000:0,16,16,16,16,16,16,0
1110:000:1,16,16,16,16,16,16,0
1110:000:2,16,16,16,16,16,16,0
1110:001:0,16,16,16,16,16,16,0
1110:001:1,16,16,16,16,16,16,0
1110:001:2,16,16,16,16,16,16,0
1110:001:3,16,16,16,16,16,16,0
1110:001:4,16,16,16,16,16,16,0
1110:001:5,16,16,16,16,16,16,0
1110:010:0,16,16,16,16,16,16,0
1110:010:1,16,16,16,16,16,16,0
1110:010:2,16,16,16,16,16,16,0
1110:010:3,16,16,16,16,16,16,0
1110:010:4,16,16,16,16,16,16,0
1110:010:5,16,16,16,16,16,16,0
1110:010:6,16,16,16,16,16,16,0
1110:010:7,16,16,16,16,16,16,0
1110:010:8,16,16,16,16,16,16,0
1110:010:9,16,16,16,16,16,16,0
1110:010:10,16,16,16,16,16,16,0
1110:010:11,16,16,16,16,16,16,0
1110:010:12,16,16,16,16,16,16,0
1110:010:13,16,16,16,16,16,16,0
1110:010:14,16,16,16,16,16,16,0
1110:010:15,16,16,16,16,16,16,0
1110:010:16,16,16,16,16,16,16,0
1110:010:17,16,16,16,16,16,16,0
1110:010:18,16,16,16,16,16,16,0
1110:010:19,16,16,16,16,16,16,0
1110:010:20,16,16,16,16,16,16,0
1110:010:21,16,16,16,16,16,16,0
1110:010:22,16,16,16,16,16,16,0
1110:010:23,16,16,16,16,16,16,0
1110:010:24,16,16,16,16,16,16,0
1110:010:25,16,16,16,16,16,16,0
1110:010:26,16,16,16,16,16,16,0
1110:010:27,16,16,16,16,16,16,0
1110:010:28,16,16,16,16,16,16,0
1110:010:29,16,16,16,16,16,16,0
1110:010:30,16,16,16,16,16,16,0
1110:010:31,16,16,16,16,16,16,0
1110:010:32,16,16,16,16,16,16,0
1110:010:33,16,16,16,16,16,16,0
1110:010:34,16,16,16,16,16,16,0
1110:010:35,16,16,16,16,16,16,0
1110:010:36,16,16,16,16,16,16,0
1110:010:37,16,16,16,16,16,16,0
1110:010:38,16,16,16,16,16,16,0
1110:010:39,16,16,16,16,16,16,0
1110:010:40,16,16,16,16,16,16,0
1110:010:41,16,16,16,16,16,16,0
1110:010:42,16,16,16,16,16,16,0
1110:010:43,16,16,16,16,16,16,0
1110:010:44,16,16,16,16,16,16,0
1110:010:45,16,16,16,16,16,16,0
1110:010:46,16,16,16,16,16,16,0
1110:011:0,16,16,16,16,16,16,0
1110:011:1,16,16,16,16,16,16,0
1110:100:0,16,16,16,16,16,16,0
1110:100:1,16,16,16,16,16,16,0
1110:101:0,16,16,16,16,16,16,0
1110:101:1,16,16,16,16,16,16,0
1110:101:2,16,16,16,16,16,16,0
1110:101:3,16,16,16,16,16,16,0
1110:101:4,16,16,16,16,16,16,0
1110:101:5,16,16,16,16,16,16,0
1110:101:6,16,16,16,16,16,16,0
1110:110:0,16,16,16,16,16,16,0
1110:110:1,16,16,16,16,16,16,0
1110:110:2,16,16,16,16,16,16,0
1110:110:3,16,16,16,16,16,16,0
1110:110:4,16,16,16,16,16,16,0
1110:111:0,16,16,16,16,16,16,0
1110:111:1,16,16,16,16,16,16,0
1110:111:2,16,16,16,16,16,16,0
1110:111:3,16,16,16,16,16,16,0
1110:111:4,16,16,16,16,16,16,0
1110:111:10,16,16,16,16,16,16,0
1110:111:11,16,16,16,16,16,16,0
1110:111:12,16,16,16,16,16,16,0
1110:111:13,16,16,16,16,16,16,0
1110:111:14,16,16,16,16,16,16,0
1110:111:15,16,16,16,16,16,16,0
1110:111:16,16,16,16,16,16,16,0

1111:01:0,16,16,16,16,16,16,0
1111:01:1,16,16,16,16,16,16,0
1111:01:2,16,16,16,16,16,16,0
1111:01:3,16,16,16,16,16,16,0
1111:01:4,16,16,16,16,16,16,0
1111:01:5,16,16,16,16,16,16,0
1111:01:6,16,16,16,16,16,16,0
1111:01:7,16,16,16,16,16,16,0
1111:01:8,16,16,16,16,16,16,0
1111:01:9,16,16,16,16,16,16,0
1111:01:10,16,16,16,16,16,16,0
1111:01:11,16,16,16,16,16,16,0
1111:01:12,16,16,16,16,16,16,0
1111:01:13,16,16,16,16,16,16,0
1111:10:0,16,16,16,16,16,16,0
1111:10:1,16,16,16,16,16,16,0
1111:10:2,16,16,16,16,16,16,0
1111:10:3,16,16,16,16,16,16,0
1111:10:4,16,16,16,16,16,16,0
1111:11:0,16,16,16,16,16,16,0
1111:11:1,16,16,16,16,16,16,0
1111:11:2,16,16,16,16,16,16,0
1111:11:3,16,16,16,16,16,16,0
1111:11:4,16,16,16,16,16,16,0
1111:11:5,16,16,16,16,16,16,0
1111:11:6,16,16,16,16,16,16,0
1111:11:7,16,16,16,16,16,16,0
