name,source_rows,source_labels,proposed_ids,status,reason
cable_tungsten_1x,984,Cables & Wires (1111:01) — stack 64,1111:01:12,deferred,not-yet-reviewed-or-namespace-conflict
cable_vana,178,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cactus,274,Vegetation (00:1),00:1:14,deferred,not-yet-reviewed-or-namespace-conflict
capacitor,1077,Components & Circuits (1111:11) — stack 64,1111:11:55,deferred,not-yet-reviewed-or-namespace-conflict
carbon_fiber,134,Processed materials,,deferred,not-yet-reviewed-or-namespace-conflict
carbon_fiber_ingot,429,Non-metals (0110:4),0110:4:4,deferred,not-yet-reviewed-or-namespace-conflict
cartography_table,374,Wooden Containers & Utility (010:4),010:4:11,deferred,not-yet-reviewed-or-namespace-conflict
casing,136,Processed materials,,deferred,not-yet-reviewed-or-namespace-conflict
casing_ev,911,Multi-block Parts & Casings (1110:11:40+),1110:111:44,deferred,not-yet-reviewed-or-namespace-conflict
casing_hv,910,Multi-block Parts & Casings (1110:11:40+),1110:111:43,deferred,not-yet-reviewed-or-namespace-conflict
casing_iv,912,Multi-block Parts & Casings (1110:11:40+),1110:111:45,deferred,not-yet-reviewed-or-namespace-conflict
casing_luv,913,Multi-block Parts & Casings (1110:11:40+),1110:111:46,deferred,not-yet-reviewed-or-namespace-conflict
casing_lv,908,Multi-block Parts & Casings (1110:11:40+),1110:111:41,deferred,not-yet-reviewed-or-namespace-conflict
casing_max,916,Multi-block Parts & Casings (1110:11:40+),1110:111:49,deferred,not-yet-reviewed-or-namespace-conflict
casing_mv,909,Multi-block Parts & Casings (1110:11:40+),1110:111:42,deferred,not-yet-reviewed-or-namespace-conflict
casing_ulv,907,Multi-block Parts & Casings (1110:11:40+),1110:111:40,deferred,not-yet-reviewed-or-namespace-conflict
casing_uv,915,Multi-block Parts & Casings (1110:11:40+),1110:111:48,deferred,not-yet-reviewed-or-namespace-conflict
casing_zpm,914,Multi-block Parts & Casings (1110:11:40+),1110:111:47,deferred,not-yet-reviewed-or-namespace-conflict
cassiterite_ore,699,Overworld (10:0),10:0:33,deferred,not-yet-reviewed-or-namespace-conflict
centrifuge,156,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
centrifuge_mv,843,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:19,deferred,not-yet-reviewed-or-namespace-conflict
certus_quartz,518,Gems & Crystals (01110:5),0:1110:101:8,deferred,not-yet-reviewed-or-namespace-conflict
chainsaw_hv,961,Electric Tools (1111:00) — stack 1,1111:00:8,deferred,not-yet-reviewed-or-namespace-conflict
chainsaw_mv,960,Electric Tools (1111:00) — stack 1,1111:00:7,deferred,not-yet-reviewed-or-namespace-conflict
chalcopyrite_ore,700,Overworld (10:0),10:0:34,deferred,not-yet-reviewed-or-namespace-conflict
charcoal_dust,471,Dusts (01110:1),0:1110:001:18,deferred,not-yet-reviewed-or-namespace-conflict
charger_hv,891,"Generation, Storage, Transformers (1110:11)",1110:101:26,deferred,not-yet-reviewed-or-namespace-conflict
charger_lv,889,"Generation, Storage, Transformers (1110:11)",1110:101:24,deferred,not-yet-reviewed-or-namespace-conflict
charger_mv,890,"Generation, Storage, Transformers (1110:11)",1110:101:25,deferred,not-yet-reviewed-or-namespace-conflict
chemical_reactor,155,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
chemical_reactor_mv,839,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:15,deferred,not-yet-reviewed-or-namespace-conflict
chlorine,658,Fluids as Items / Chemicals (011111:3) — stack 64 (или 16 если вёдра),011111:3:28,deferred,not-yet-reviewed-or-namespace-conflict
chrome_dust,121,Dusts (prefix 0:1110:1:0:*),,deferred,not-yet-reviewed-or-namespace-conflict
chrome_ingot,115,Ingots (prefix 0:110:*),,deferred,not-yet-reviewed-or-namespace-conflict
chrome_plate,118,Plates (prefix 0:1110:0:*),,deferred,not-yet-reviewed-or-namespace-conflict
cinnabar_ore,696,Overworld (10:0),10:0:30,deferred,not-yet-reviewed-or-namespace-conflict
circuit_advanced,1025,Components & Circuits (1111:11) — stack 64,1111:11:3,deferred,not-yet-reviewed-or-namespace-conflict
circuit_basic,1023,Components & Circuits (1111:11) — stack 64,1111:11:1,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board,127,Circuits (need new sub-prefix),,deferred,requires-new-namespace
circuit_board_advanced,1034,Components & Circuits (1111:11) — stack 64,1111:11:12,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board_basic,1032,Components & Circuits (1111:11) — stack 64,1111:11:10,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board_elite,1035,Components & Circuits (1111:11) — stack 64,1111:11:13,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board_epoxy,1037,Components & Circuits (1111:11) — stack 64,1111:11:15,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board_fiberglass,1038,Components & Circuits (1111:11) — stack 64,1111:11:16,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board_good,1033,Components & Circuits (1111:11) — stack 64,1111:11:11,deferred,not-yet-reviewed-or-namespace-conflict
circuit_board_plastic,1036,Components & Circuits (1111:11) — stack 64,1111:11:14,deferred,not-yet-reviewed-or-namespace-conflict
circuit_crystal,1030,Components & Circuits (1111:11) — stack 64,1111:11:8,deferred,not-yet-reviewed-or-namespace-conflict
circuit_elite,1026,Components & Circuits (1111:11) — stack 64,1111:11:4,deferred,not-yet-reviewed-or-namespace-conflict
circuit_good,1024,Components & Circuits (1111:11) — stack 64,1111:11:2,deferred,not-yet-reviewed-or-namespace-conflict
circuit_master,1027,Components & Circuits (1111:11) — stack 64,1111:11:5,deferred,not-yet-reviewed-or-namespace-conflict
circuit_primitive,1022,Components & Circuits (1111:11) — stack 64,1111:11:0,deferred,not-yet-reviewed-or-namespace-conflict
circuit_quantum,1029,Components & Circuits (1111:11) — stack 64,1111:11:7,deferred,not-yet-reviewed-or-namespace-conflict
circuit_ultimate,1028,Components & Circuits (1111:11) — stack 64,1111:11:6,deferred,not-yet-reviewed-or-namespace-conflict
circuit_wetware,1031,Components & Circuits (1111:11) — stack 64,1111:11:9,deferred,not-yet-reviewed-or-namespace-conflict
cobalt_ingot,389,Base Metals (0110:0),0110:0:6,deferred,not-yet-reviewed-or-namespace-conflict
cobalt_ore,673,Overworld (10:0),10:0:7,deferred,not-yet-reviewed-or-namespace-conflict
coil_copper,135,Processed materials,,deferred,not-yet-reviewed-or-namespace-conflict
coil_cupronickel,135;1066,Processed materials,1111:11:44,deferred,not-yet-reviewed-or-namespace-conflict
coil_hss_g,1070,Components & Circuits (1111:11) — stack 64,1111:11:48,deferred,not-yet-reviewed-or-namespace-conflict
coil_kanthal,1067,Components & Circuits (1111:11) — stack 64,1111:11:45,deferred,not-yet-reviewed-or-namespace-conflict
coil_naquadah,1071,Components & Circuits (1111:11) — stack 64,1111:11:49,deferred,not-yet-reviewed-or-namespace-conflict
coil_nichrome,1068,Components & Circuits (1111:11) — stack 64,1111:11:46,deferred,not-yet-reviewed-or-namespace-conflict
coil_tungsten,135,Processed materials,,deferred,not-yet-reviewed-or-namespace-conflict
coil_tungstensteel,1069,Components & Circuits (1111:11) — stack 64,1111:11:47,deferred,not-yet-reviewed-or-namespace-conflict
coin,792,Quest / Special (110:4),110:4:1,deferred,not-yet-reviewed-or-namespace-conflict
coke_coal,598,Fuels & Basic Resources (011111:1) — stack 64,011111:1:2,deferred,not-yet-reviewed-or-namespace-conflict
collision,202,Items used in recipes but NOT in items.csv,,deferred,not-yet-reviewed-or-namespace-conflict
combustion_generator_lv,865,"Generation, Storage, Transformers (1110:11)",1110:100:0,deferred,not-yet-reviewed-or-namespace-conflict
combustion_generator_mv,866,"Generation, Storage, Transformers (1110:11)",1110:100:1,deferred,not-yet-reviewed-or-namespace-conflict
composite_chestplate,780,Armor & Wearable (110:3) — stack 1,110:3:9,deferred,not-yet-reviewed-or-namespace-conflict
composite_helmet,779,Armor & Wearable (110:3) — stack 1,110:3:8,deferred,not-yet-reviewed-or-namespace-conflict
composter,369;378,Wooden Containers & Utility (010:4),010:4:6,deferred,not-yet-reviewed-or-namespace-conflict
concrete,110;288,Terrain blocks (prefix 0:0:*),00:2:8,deferred,not-yet-reviewed-or-namespace-conflict
concrete_powder,289,Manufactured Building (00:2),00:2:9,deferred,not-yet-reviewed-or-namespace-conflict
conveyor_hv,1053,Components & Circuits (1111:11) — stack 64,1111:11:31,deferred,not-yet-reviewed-or-namespace-conflict
conveyor_lv,1051,Components & Circuits (1111:11) — stack 64,1111:11:29,deferred,not-yet-reviewed-or-namespace-conflict
conveyor_module,130,Mechanical components (need new sub-prefix),,deferred,requires-new-namespace
conveyor_mv,1052,Components & Circuits (1111:11) — stack 64,1111:11:30,deferred,not-yet-reviewed-or-namespace-conflict
copper_pipe,180,Pipes (prefix 1111:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
copper_wire_1x,498,Wires (01110:4),0:1110:100:0,deferred,not-yet-reviewed-or-namespace-conflict
copper_wire_2x,499,Wires (01110:4),0:1110:100:1,deferred,not-yet-reviewed-or-namespace-conflict
copper_wire_4x,500,Wires (01110:4),0:1110:100:2,deferred,not-yet-reviewed-or-namespace-conflict
copper_wire_8x,501,Wires (01110:4),0:1110:100:3,deferred,not-yet-reviewed-or-namespace-conflict
credit,793,Quest / Special (110:4),110:4:2,deferred,not-yet-reviewed-or-namespace-conflict
creosote,642,Fluids as Items / Chemicals (011111:3) — stack 64 (или 16 если вёдра),011111:3:12,deferred,not-yet-reviewed-or-namespace-conflict
creosote_bucket,586,Fluid Containers (011111:0) — stack 16,011111:0:12,deferred,not-yet-reviewed-or-namespace-conflict
crystal_circuit,125,Circuits (need new sub-prefix),,deferred,requires-new-namespace
crystallizer,155,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
cutter,550,Crafting Helpers (011110:2),011110:2:3,deferred,not-yet-reviewed-or-namespace-conflict
cutting_machine_lv,850,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:26,deferred,not-yet-reviewed-or-namespace-conflict
dark_oak,112,More wood types (prefix 0:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
dark_prismarine,297,Manufactured Building (00:2),00:2:17,deferred,not-yet-reviewed-or-namespace-conflict
data_circuit,124,Circuits (need new sub-prefix),,deferred,requires-new-namespace
dead_bush,268,Vegetation (00:1),00:1:8,deferred,not-yet-reviewed-or-namespace-conflict
diamond_dust,121,Dusts (prefix 0:1110:1:0:*),,deferred,not-yet-reviewed-or-namespace-conflict
diesel,638,Fluids as Items / Chemicals (011111:3) — stack 64 (или 16 если вёдра),011111:3:8,deferred,not-yet-reviewed-or-namespace-conflict
diesel_bucket,584,Fluid Containers (011111:0) — stack 16,011111:0:10,deferred,not-yet-reviewed-or-namespace-conflict
diesel_generator,160,Generation (1110:01:* — currently 0-2),,deferred,not-yet-reviewed-or-namespace-conflict
diesel_generator_lv,869,"Generation, Storage, Transformers (1110:11)",1110:100:4,deferred,not-yet-reviewed-or-namespace-conflict
diesel_generator_mv,870,"Generation, Storage, Transformers (1110:11)",1110:100:5,deferred,not-yet-reviewed-or-namespace-conflict
diode,1078,Components & Circuits (1111:11) — stack 64,1111:11:56,deferred,not-yet-reviewed-or-namespace-conflict
diorite,109;254,Terrain blocks (prefix 0:0:*),00:0:19,deferred,not-yet-reviewed-or-namespace-conflict
distillation_tower,157,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
doors,112,More wood types (prefix 0:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
drill_ev,957,Electric Tools (1111:00) — stack 1,1111:00:4,deferred,not-yet-reviewed-or-namespace-conflict
drill_iv,958,Electric Tools (1111:00) — stack 1,1111:00:5,deferred,not-yet-reviewed-or-namespace-conflict
duranium_ingot,420,Rare / Endgame (0110:3),0110:3:2,deferred,not-yet-reviewed-or-namespace-conflict
dynamo_hatch_lv,932,Multi-block Parts & Casings (1110:11:40+),1110:111:65,deferred,not-yet-reviewed-or-namespace-conflict
dynamo_hatch_mv,933,Multi-block Parts & Casings (1110:11:40+),1110:111:66,deferred,not-yet-reviewed-or-namespace-conflict
electric_compressor_hv,829,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:5,deferred,not-yet-reviewed-or-namespace-conflict
electric_compressor_lv,153;827,"Processing (1110:00:* — currently 0-7, room for 1024)",1110:010:3,deferred,not-yet-reviewed-or-namespace-conflict
electric_compressor_mv,828,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:4,deferred,not-yet-reviewed-or-namespace-conflict
electric_extractor_lv,153;830,"Processing (1110:00:* — currently 0-7, room for 1024)",1110:010:6,deferred,not-yet-reviewed-or-namespace-conflict
electric_extractor_mv,831,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:7,deferred,not-yet-reviewed-or-namespace-conflict
electric_macerator_hv,826,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:2,deferred,not-yet-reviewed-or-namespace-conflict
electric_macerator_lv,152;824,"Processing (1110:00:* — currently 0-7, room for 1024)",1110:010:0,deferred,not-yet-reviewed-or-namespace-conflict
electric_macerator_mv,825,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:1,deferred,not-yet-reviewed-or-namespace-conflict
electric_mixer_lv,154,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
electric_motor,129,Mechanical components (need new sub-prefix),,deferred,requires-new-namespace
electric_pump,129,Mechanical components (need new sub-prefix),,deferred,requires-new-namespace
electric_smelter_lv,154,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
electric_wrench_hv,964,Electric Tools (1111:00) — stack 1,1111:00:11,deferred,not-yet-reviewed-or-namespace-conflict
electric_wrench_lv,963,Electric Tools (1111:00) — stack 1,1111:00:10,deferred,not-yet-reviewed-or-namespace-conflict
electrolyser,155,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
electrolyzer_mv,841,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:17,deferred,not-yet-reviewed-or-namespace-conflict
electromagnetic_separator_lv,861,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:37,deferred,not-yet-reviewed-or-namespace-conflict
emerald,511,Gems & Crystals (01110:5),0:1110:101:1,deferred,not-yet-reviewed-or-namespace-conflict
emerald_ore,679,Overworld (10:0),10:0:13,deferred,not-yet-reviewed-or-namespace-conflict
emitter,130,Mechanical components (need new sub-prefix),,deferred,requires-new-namespace
emitter_hv,1062,Components & Circuits (1111:11) — stack 64,1111:11:40,deferred,not-yet-reviewed-or-namespace-conflict
emitter_lv,1060,Components & Circuits (1111:11) — stack 64,1111:11:38,deferred,not-yet-reviewed-or-namespace-conflict
emitter_mv,1061,Components & Circuits (1111:11) — stack 64,1111:11:39,deferred,not-yet-reviewed-or-namespace-conflict
empty_cell,590,Fluid Containers (011111:0) — stack 16,011111:0:16,deferred,not-yet-reviewed-or-namespace-conflict
end_copper_ore,713,End (10:2),10:2:2,deferred,not-yet-reviewed-or-namespace-conflict
end_gold_ore,712,End (10:2),10:2:1,deferred,not-yet-reviewed-or-namespace-conflict
end_iron_ore,711,End (10:2),10:2:0,deferred,not-yet-reviewed-or-namespace-conflict
end_lead_ore,715,End (10:2),10:2:4,deferred,not-yet-reviewed-or-namespace-conflict
end_naquadah_ore,717,End (10:2),10:2:6,deferred,not-yet-reviewed-or-namespace-conflict
end_osmium_ore,716,End (10:2),10:2:5,deferred,not-yet-reviewed-or-namespace-conflict
end_platinum_ore,718,End (10:2),10:2:7,deferred,not-yet-reviewed-or-namespace-conflict
end_stone,250,Stone & Ground (00:0),00:0:15,deferred,not-yet-reviewed-or-namespace-conflict
end_tin_ore,714,End (10:2),10:2:3,deferred,not-yet-reviewed-or-namespace-conflict
energy_crystal,166;902,Storage (1110:10:* — currently 0-3),1110:101:37,deferred,not-yet-reviewed-or-namespace-conflict
energy_hatch_hv,931,Multi-block Parts & Casings (1110:11:40+),1110:111:64,deferred,not-yet-reviewed-or-namespace-conflict
energy_hatch_lv,929,Multi-block Parts & Casings (1110:11:40+),1110:111:62,deferred,not-yet-reviewed-or-namespace-conflict
energy_hatch_mv,930,Multi-block Parts & Casings (1110:11:40+),1110:111:63,deferred,not-yet-reviewed-or-namespace-conflict
epoxy_board,127,Circuits (need new sub-prefix),,deferred,requires-new-namespace
epoxy_ingot,430,Non-metals (0110:4),0110:4:5,deferred,not-yet-reviewed-or-namespace-conflict
epoxy_resin,645,Fluids as Items / Chemicals (011111:3) — stack 64 (или 16 если вёдра),011111:3:15,deferred,not-yet-reviewed-or-namespace-conflict
ethanol,643,Fluids as Items / Chemicals (011111:3) — stack 64 (или 16 если вёдра),011111:3:13,deferred,not-yet-reviewed-or-namespace-conflict
ethanol_bucket,588,Fluid Containers (011111:0) — stack 16,011111:0:14,deferred,not-yet-reviewed-or-namespace-conflict
extruder_shape_pipe,562,Crafting Helpers (011110:2),011110:2:15,deferred,not-yet-reviewed-or-namespace-conflict
extruder_shape_plate,560,Crafting Helpers (011110:2),011110:2:13,deferred,not-yet-reviewed-or-namespace-conflict
extruder_shape_rod,561,Crafting Helpers (011110:2),011110:2:14,deferred,not-yet-reviewed-or-namespace-conflict
extruder_shape_wire,563,Crafting Helpers (011110:2),011110:2:16,deferred,not-yet-reviewed-or-namespace-conflict
fallen_meteor,743,Space Blocks (110:0),110:0:5,deferred,not-yet-reviewed-or-namespace-conflict
fence,113,More wood types (prefix 0:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
fern,267,Vegetation (00:1),00:1:7,deferred,not-yet-reviewed-or-namespace-conflict
fiber_optic_cable,999,Cables & Wires (1111:01) — stack 64,1111:01:27,deferred,not-yet-reviewed-or-namespace-conflict
field_generator,131,Mechanical components (need new sub-prefix),,deferred,requires-new-namespace
field_generator_hv,1065,Components & Circuits (1111:11) — stack 64,1111:11:43,deferred,not-yet-reviewed-or-namespace-conflict
field_generator_lv,1063,Components & Circuits (1111:11) — stack 64,1111:11:41,deferred,not-yet-reviewed-or-namespace-conflict
field_generator_mv,1064,Components & Circuits (1111:11) — stack 64,1111:11:42,deferred,not-yet-reviewed-or-namespace-conflict
fine_copper_wire,505,Wires (01110:4),0:1110:100:7,deferred,not-yet-reviewed-or-namespace-conflict
fine_gold_wire,506,Wires (01110:4),0:1110:100:8,deferred,not-yet-reviewed-or-namespace-conflict
fine_tungsten_wire,507,Wires (01110:4),0:1110:100:9,deferred,not-yet-reviewed-or-namespace-conflict
fish_cooked,627,Food & Agriculture (011111:2) — stack 64,011111:2:10,deferred,not-yet-reviewed-or-namespace-conflict
fish_raw,626,Food & Agriculture (011111:2) — stack 64,011111:2:9,deferred,not-yet-reviewed-or-namespace-conflict
fletching_table,375,Wooden Containers & Utility (010:4),010:4:12,deferred,not-yet-reviewed-or-namespace-conflict
flower_blue,271,Vegetation (00:1),00:1:11,deferred,not-yet-reviewed-or-namespace-conflict
flower_red,269,Vegetation (00:1),00:1:9,deferred,not-yet-reviewed-or-namespace-conflict
flower_yellow,270,Vegetation (00:1),00:1:10,deferred,not-yet-reviewed-or-namespace-conflict
