old_id,new_id,name,old_packed,new_packed,subgroup
1110:00:18,1110:010:9,extractor_lv,57362,58377,machines/electric-processing
1110:00:19,1110:010:10,extruder,57363,58378,machines/electric-processing
1110:00:20,1110:010:11,macerator_lv,57364,58379,machines/electric-processing
1110:00:21,1110:010:12,mixer_lv,57365,58380,machines/electric-processing
1110:00:22,1110:010:13,wiremill,57366,58381,machines/electric-processing
1110:01:2,1110:100:0,creative_generator,58370,59392,machines/generation
1110:01:3,1110:100:1,rotare_generator,58371,59393,machines/generation
1110:00:0,1110:000:0,heat_furnace,57344,57344,machines/heat-processing
1110:00:1,1110:000:1,heat_macerator,57345,57345,machines/heat-processing
1110:00:2,1110:000:2,heat_generator,57346,57346,machines/heat-processing
1110:00:3,1110:001:0,steam_macerator,57347,57856,machines/steam-processing
1110:00:4,1110:001:1,steam_compressor,57348,57857,machines/steam-processing
1110:00:5,1110:001:2,steam_extractor,57349,57858,machines/steam-processing
1110:00:6,1110:001:3,steam_mixer,57350,57859,machines/steam-processing
1110:00:7,1110:001:4,bronze_alloy_smelter,57351,57860,machines/steam-processing
1110:00:8,1110:001:5,rotare_macerator,57352,57861,machines/steam-processing
1110:10:0,1110:101:0,battery_buffer_lv,59392,59904,machines/storage
1110:10:1,1110:101:1,battery_buffer_mv,59393,59905,machines/storage
1110:10:2,1110:101:2,battery_buffer_hv,59394,59906,machines/storage
1110:10:3,1110:101:3,charger,59395,59907,machines/storage
1110:10:4,1110:101:4,fluid_tank,59396,59908,machines/storage
1110:11:0,1110:110:0,transformer_mv_hv,60416,60416,machines/transformers
1110:11:1,1110:110:1,transformer_hv_ev,60417,60417,machines/transformers
1110:11:2,1110:110:2,transformer_lv_mv,60418,60418,machines/transformers
